surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CH4	-2.486809	[0, 0, 0,  0,  83.0, 143.7, 1288.3, 1302.9, 1304.3, 1504.7, 1515.7, 3022.0, 3108.2, 3121.0, 3126.1]	GK calc
None	gas	CO	0.000000000000	[0, 0, 78.6, 263.9, 284.3, 2115.0]	GK calc
None	gas	H2	0.000000000000	[0, 123.3, 182.2, 304.6, 427.9, 4470.7]	GK calc
None	gas	C2H4	-2.76975805	[0, 0, 0, 0, 0, 0, 826.36096307,  959.45228605,  960.34934469, 1053.97242644, 1229.69837936, 1348.85228724, 1472.24547713, 1668.96347041, 3105.59055667, 3125.65012816, 3173.82607546, 3196.77938303]	own calc
None	gas	CH3CH2OH	-3.255991999999992	[0,  0,   0,  134.7,  149.6,  181.7,  334.3,  384.9,  495.9,  832.0, 907.2,  992.8, 1081.6, 1157.1, 1271.7, 1295.2, 1403.1, 1426.8, 1465.6, 1502.8, 1519.1, 2959.8, 2971.0, 3032.1, 3073.8, 3090.5, 3799.5]	GK calc
None	gas	H2O	0.000000000000	[0, 0, 121.9, 259.2, 290.5, 358.9, 1623.4, 3753.9,  3874.9]	GK_calc
Cu	100	H3CCH2O	-3.137692	[12.0, 89.490077, 135.424522, 190.833405, 244.220488, 269.33269, 332.840196, 443.750788, 791.017973, 884.715013, 1039.137898, 1081.027907, 1125.268407, 1258.046196, 1329.924961, 1366.64709, 1452.38385, 1455.123063, 1472.05685, 2909.239083, 2951.013368, 2960.959509, 3020.670691, 3039.135965,]	beta=(-0.27414592483583927, -1.93144944472443)
Cu	100	HCCO	-1.331924	[173.065214, 231.843999, 283.890172, 300.182618, 356.126759, 376.856389, 535.504164, 568.164464, 890.406818, 1209.043956, 2018.883534, 3143.957096,]	beta=(-0.01192538793343475, -1.2794526438138547)
Cu	100	HCCO-H2O-ele	-0.169890	[12.0, 12.0, 123.9171655191901, 145.59929423869002, 173.69795955734006, 375.9471288547995, 547.4995365757217, 573.4010676407967, 1210.3441993594677, 2029.9326647203256, 3340.303666609647]	beta=(0.49563402598287204, -2.3506802064039753) HCCO_to_H2CCO_base 304j
Cu	100	OHCC-H2O-ele	0.259253	[12.0, 12.0, 12.0, 136.4040906495722, 184.5313306474, 245.86534646424465, 259.7506389437141, 298.76078064946006, 329.7765759049319, 345.38830659725943, 506.0918857969171, 652.3778733709412, 789.025657437897, 910.9623211980156, 1037.537461538691, 1153.1109439103886, 1344.3124408589451, 2967.98171432682, 3632.5257948324065, 3762.1398539594657]	beta=(0.7727814990292007, -3.140985276559207) HCCO_to_HCCOH_base 366j
