surface_name	site_name	species_name	formation_energy	frequencies	reference
None	gas	CO	0.000000000000	[]	GK calc
None	gas	H2	0.000000000000	[]	GK calc
None	gas	H2O	0.000000000000	[]	GK_calc
None	gas	CH4	-1.5295457064339166	[]	GK calc
None	gas	C2H4	-1.2579162936609738	[]	own calc
None	gas	CH3CH2OH	-1.0685255441316421	[]	GK calc
None	gas	CH3COOH	-0.9019650000000041	[]	GK calc
None	gas	CH3COO	-1.454921544131642	[]	GK calc - pka=4.756 Here calculated for pH 13
None	gas	CH3CHO	-0.652567999999988	[]	GK calc
Cu	100	H3CCH2O	-0.476837	[]	beta=(-0.27414592483583927, -1.93144944472443)
Cu	100	HCCO	0.105915	[]	beta=(-0.01192538793343475, -1.2794526438138547)
Cu	100	HCCO-H2O-ele	1.016628	[]	beta=(0.49563402598287204, -2.3506802064039753) HCCO_to_H2CCO_base 304j
Cu	100	OHCC-H2O-ele	1.349940	[]	beta=(0.7727814990292007, -3.140985276559207) HCCO_to_HCCOH_base 366j
Cu	100	COHC-H2O-ele	1.411823	[]	beta=(0.5000804321379884, -2.0418494798830737) HCCO_to_HCCHO_base 1580j
Cu	100	OHCCH2	-0.020485	[]	beta=(0.23015974211199086, -3.0381698237794756)
Cu	100	OHCCH2-H2O-ele	1.585439	[]	beta=(0.30154610244499, -1.5763043510172248) OHCCH2_to_H2CCH2O_base 1386j
Cu	100	2OHCCH-H2O-ele	0.257372	[]	beta=(0.37462448627181283, -3.3991974136572995) OHCCH2_to_OCHCH3_base 162j
Cu	100	CCH2	0.195245	[]	beta=(-0.14149631267654933, -0.7451563879942944)
Cu	100	CHO	0.931352	[]	beta=(0.21900841207120753, -0.8141078450638537)
Cu	100	CHO-CHO	0.943102	[]	beta=(0.2770231600188214, -1.1018106941419588) CHO_to_OCCHO_base 289j
Cu	100	CHO-H2O-ele	2.411322	[]	beta=(0.8110270536658977, -1.922792443092531) CHO_to_CHOH_base 132j
Cu	100	CH3CHOH	0.156887	[]	beta=(-0.05633207366872788, -2.0481815922979636)
Cu	100	CHOH	1.619806	[]	beta=(0.14863971030736145, -0.17931650721134654)
Cu	100	CHOH-ele	2.843734	[]	beta=(0.5153049619023197, -0.4941003702763485) CHOH_to_CH_base 329j
Cu	100	HCCHO	-0.070466	[]	beta=(-0.0031016505018524043, -1.8249647393629185)
Cu	100	CH	0.603324	[]	beta=(-0.011926320821360864, -0.12712841218909574)
Cu	100	CO	0.023802	[]	beta=(0.059781858280483484, -0.7938748555908866)
Cu	100	CO-H2O-ele	1.665848	[]	beta=(0.6039156439931846, -1.510073841555736) CO_to_COH_base 129j
Cu	100	OC-H2O-ele	1.716261	[]	beta=(0.45264072053467885, -0.6099453859195293) CO_to_CHO_base 1229j
Cu	100	CO-H	1.018590	[]	beta=(0.19402657644871985, -0.4962238568682) CO_to_CHO_chemical 799j
Cu	100	HOCCH3	0.701756	[]	beta=(-0.18383322805326285, -0.7020668786184792)
Cu	100	HCCH	0.126431	[]	beta=(-0.11285466715910841, -0.9588101555344354)
Cu	100	COH	1.296926	[]	beta=(0.005951509538593494, 0.4140689506783785)
Cu	100	COH-COH	1.951462	[]	beta=(0.11347710314834919, 0.4656292782438436) COH_to_OCCOH_base 228j
Cu	100	COH-ele	2.513904	[]	beta=(0.5043092097002582, -0.4919934690007759) COH_to_C_base 314j
Cu	100	H2CCOH	0.680847	[]	beta=(0.09365161911170479, -1.6912217289594906)
Cu	100	H2CCOH-ele	2.043972	[]	beta=(0.2806553757573052, -1.027858898952691) H2CCOH_to_CCH2_base 328j
Cu	100	CCO	-0.260996	[]	beta=(0.1815582062410138, -2.1556103297113114)
Cu	100	CCO-H2O-ele	0.831349	[]	beta=(0.627045136433849, -2.7728849214935893) CCO_to_HCCO_base 1108j
Cu	100	OCC-H2O-ele	1.871827	[]	beta=(0.6700086421353756, -2.0404935563166915) CCO_to_CCOH_base 187j
Cu	100	COC-H2O-ele	1.680377	[]	beta=(0.8342456727206664, -2.932754019709865) CCO_to_CCHO_base 1473j
Cu	100	O	0.490472	[]	beta=(0.043565563412904865, 0.3371824936679201)
Cu	100	H	0.294523	[]	beta=(-0.01729025402247683, 0.1812203293516176)
Cu	100	OCCHO	0.813922	[]	beta=(0.5954809119355507, -3.2077972495085185)
Cu	100	CCOH	1.222719	[]	beta=(0.05586485179204068, -0.36805980997569054)
Cu	100	CCOH-H2O-ele	1.688274	[]	beta=(0.42034891489478937, -1.316885337332451) CCOH_to_HCCOH_base 1416j
Cu	100	CCOH-ele	2.172409	[]	beta=(0.5520761507232088, -1.5347197717200027) CCOH_to_CC_base 354j
Cu	100	CH3	-0.059580	[]	beta=(-0.13372888463557336, -0.7839031861202768)
Cu	100	H2CCHOH	-0.138390	[]	beta=(-0.3337711434950166, -0.8659065762120225)
Cu	100	clean	-2940.397353	[]	beta=(0.804650199680916, -2944.57037677536)
Cu	100	H2O-ele	1.311465	[]	beta=(0.43516785821339593, -0.3398875568815079) clean_to_H_base 1043j
Cu	100	COCO	0.159044	[]	beta=(0.149337742390598, -1.4643062618213312)
Cu	100	CO-CO	0.900413	[]	beta=(0.33916573662536076, -1.636451601876846) COCO_to_OCCO_base 399j
Cu	100	CCHO	0.531514	[]	beta=(0.44565656195065384, -2.8668905646153626)
Cu	100	HCCH2O	0.747773	[]	beta=(-0.05852631655725902, -1.0233444390799133)
Cu	100	CH2	0.796516	[]	beta=(0.11594515413978503, -0.6770571797445926)
Cu	100	H2CCO	0.180437	[]	beta=(0.058495356907749825, -1.7898535637201711)
Cu	100	H2CCO-H2O-ele	1.036738	[]	beta=(0.5089847908198969, -2.62072097985469) H2CCO_to_H3CCO_base 1225j
Cu	100	OH2CC-H2O-ele	1.378792	[]	beta=(0.585954204562222, -2.7709453282254164) H2CCO_to_H2CCOH_base 241j
Cu	100	COH2C-H2O-ele	0.766888	[]	beta=(0.40413623839267526, -2.412302137328634) H2CCO_to_OHCCH2_base 1447j
Cu	100	H2CCH	-0.166078	[]	beta=(-0.15460259705723317, -1.3354507781934164)
Cu	100	OCCO	0.992244	[]	beta=(0.6161688356719496, -2.7849004137599733)
Cu	100	OCCO-H2O-ele	1.696923	[]	beta=(0.9128381777853191, -3.3186225088837125) OCCO_to_OCCOH_base 688j
Cu	100	H3CCO	-0.185483	[]	beta=(-0.039859957590703404, -1.9430337057074227)
Cu	100	HOCCOH	1.422571	[]	beta=(0.08839278443130758, -0.7818867973536348)
Cu	100	HOCCOH-ele	2.196964	[]	beta=(0.4014584608787422, -1.165443091629466) HOCCOH_to_CCOH_base 282j
Cu	100	OCHCH3	-0.505306	[]	beta=(-0.1626870657021327, -1.904981514070011)
Cu	100	H2CCH2O	0.202931	[]	beta=(-0.10297627173151845, -1.6959889080316204)
Cu	100	H2CCH2O-H2O-ele	1.184882	[]	beta=(0.3044892879019745, -2.352923014883528) H2CCH2O_to_H3CCH2O_base 1414j
Cu	100	H2CCH2O-ele	0.722700	[]	beta=(-0.1581452486432992, -0.7695801193687241) H2CCH2O_to_O_base 424j
Cu	100	CC	0.685917	[]	beta=(0.2693567300370239, -1.5401259168135555)
Cu	100	CC-H2O-ele	0.811597	[]	beta=(0.43250699913879825, -1.8566887199147173) CC_to_CCH_base 1052j
Cu	100	OH	0.354351	[]	beta=(0.2564071992765799, -0.9913381555781847)
Cu	100	HCCOH	0.659154	[]	beta=(0.034029645491422886, -1.1297143663238989)
Cu	100	HCCOH-ele	1.312767	[]	beta=(0.29018642343139134, -1.5308588770489675) HCCOH_to_CCH_base 293j
Cu	100	OCCOH	1.240266	[]	beta=(0.488727411427996, -2.3651055571401933)
Cu	100	OCCOH-ele	1.774646	[]	beta=(0.7187360031419922, -2.667316616684856) OCCOH_to_CCO_base 326j
Cu	100	OCCOH-H2O-ele	1.663165	[]	beta=(0.6760725497418628, -2.5801010941717535) OCCOH_to_HOCCOH_base 262j
Cu	100	C	0.962870	[]	beta=(0.01119784461330256, 0.39047376534698747)
Cu	100	C-H2O-ele	1.790435	[]	beta=(0.3551965134768652, -0.03152661325769532) C_to_CH_base 1259j
Cu	100	CCH	0.171420	[]	beta=(-0.13420292457033137, -0.5541212168994487)
Cu	100	CCH-H2O-ele	0.721349	[]	beta=(0.18235498410201925, -1.1445309527982024) CCH_to_HCCH_base 1413j
Cu	100	OCCHOH	0.910585	[]	beta=(0.13780861614191373, -1.4915912396179842)
